# zHD       = redshift in CMB frame with VPEC correction
# zHEL      = helio redshift (beware: no VPEC corr) 
# MU        = distance modulus corrected for bias and contamination
# MUERR     = stat-uncertainty on MU 
# MUERR_SYS = sqrt(COVSYS_DIAG) for 'ALL' sys (diagnostic)
# ISDATA_REAL: 1   # flag for cosmology fitter to choose blind option
#
VARNAMES: CID IDSURVEY zHD zHEL MU MUERR MUERR_VPEC MUERR_SYS
SN: 14311        1 0.33501 0.33606 41.38699  0.14890  0.00000  0.08140
SN: 14317        1 0.17996 0.18100 39.44634  0.18090  0.00000  0.02218
SN: 14331        1 0.22004 0.22119 40.30519  0.17890  0.00000  0.01540
SN: 14343        1 0.34186 0.34305 41.01595  0.09610  0.00000  0.05199
SN: 14346        1 0.21213 0.21328 40.99544  0.31180  0.00000  0.08066
SN: 14375        1 0.32242 0.32321 40.85253  0.10240  0.00000  0.06524
SN: 14377        1 0.13880 0.13941 39.27756  0.18150  0.00000  0.04009
SN: 14389        1 0.23185 0.23281 40.57459  0.26470  0.00000  0.15173
SN: 14437        1 0.14811 0.14928 39.10861  0.14140  0.00000  0.02022
SN: 14438        1 0.29631 0.29753 40.85326  0.14430  0.00000  0.02993
SN: 14444        1 0.24470 0.24590 40.58910  0.14100  0.00000  0.01589
SN: 14451        1 0.17805 0.17900 39.54882  0.13980  0.00000  0.02008
SN: 14456        1 0.32842 0.32965 41.14748  0.11530  0.00000  0.05279
SN: 14481        1 0.24239 0.24358 40.65944  0.15080  0.00000  0.03121
SN: 14498        1 0.34506 0.34618 41.34292  0.12100  0.00000  0.10236
SN: 14524        1 0.27148 0.27221 40.90811  0.15540  0.00000  0.04839
SN: 14525        1 0.15329 0.15437 39.23879  0.28900  0.00000  0.06954
SN: 14540        1 0.26853 0.26935 40.71899  0.13390  0.00000  0.02851
SN: 14545        1 0.27616 0.27739 40.71548  0.13480  0.00000  0.02876
SN: 14589        1 0.26939 0.27000 40.99356  0.19750  0.00000  0.09598
SN: 14593        1 0.30673 0.30721 40.91714  0.14780  0.00000  0.10525
SN: 1461         1 0.34014 0.34113 41.28380  0.11280  0.00000  0.07401
SN: 14638        1 0.27584 0.27705 41.35611  0.21870  0.00000  0.03119
SN: 14735        1 0.29962 0.30046 40.84300  0.14130  0.00000  0.07216
SN: 14750        1 0.21405 0.21490 40.13924  0.20020  0.00000  0.03077
SN: 14784        1 0.19122 0.19234 39.96376  0.19660  0.00000  0.03659
SN: 14816        1 0.10602 0.10722 38.28436  0.15940  0.00000  0.02547
SN: 14846        1 0.22362 0.22478 40.24044  0.13390  0.00000  0.01704
SN: 14871        1 0.11851 0.11900 38.84601  0.14440  0.00000  0.02141
SN: 14965        1 0.27995 0.28100 40.63788  0.14630  0.00000  0.03901
SN: 14979        1 0.17662 0.17710 39.58993  0.13380  0.00000  0.02150
SN: 14984        1 0.18298 0.18400 39.80954  0.22980  0.00000  0.02290
SN: 15002        1 0.36098 0.36200 41.25431  0.15570  0.00000  0.04059
SN: 1504         1 0.31655 0.31730 41.27536  0.13810  0.00000  0.04714
SN: 15057        1 0.24578 0.24684 40.67746  0.21550  0.00000  0.07740
SN: 15101        1 0.18083 0.18194 40.50055  6.88660  0.00000  0.10268
SN: 15129        1 0.19720 0.19828 39.87313  0.12480  0.00000  0.01245
SN: 15132        1 0.15322 0.15439 39.30169  0.13470  0.00000  0.02927
SN: 15136        1 0.14742 0.14865 39.07590  0.17930  0.00000  0.03693
SN: 15137        1 0.27774 0.27896 40.89360  0.14150  0.00000  0.03687
SN: 15161        1 0.24876 0.24959 40.37867  0.21980  0.00000  0.01179
SN: 15171        1 0.13831 0.13920 39.07594  0.14380  0.00000  0.02184
SN: 15198        1 0.28858 0.28942 40.82306  0.11370  0.00000  0.02109
SN: 15201        1 0.20761 0.20882 40.30882  0.23510  0.00000  0.07164
SN: 15203        1 0.20333 0.20442 39.90738  0.17810  0.00000  0.01304
SN: 15210        1 0.12473 0.12596 39.26724  0.26860  0.00000  0.07187
SN: 15213        1 0.30648 0.30700 41.07695  0.07440  0.00000  0.03596
SN: 15219        1 0.24667 0.24751 40.49162  0.12200  0.00000  0.02950
SN: 15221        1 0.15135 0.15182 40.47583 211.46660  0.00000  0.01964
SN: 15222        1 0.19824 0.19943 39.84256  0.15520  0.00000  0.02184
SN: 15229        1 0.22282 0.22400 40.29926  0.15440  0.00000  0.01246
SN: 15234        1 0.13532 0.13639 39.28993  0.19610  0.00000  0.04955
SN: 15254        1 0.20199 0.20300 40.09670  0.20040  0.00000  0.01769
SN: 15259        1 0.21079 0.21200 39.92092  0.17470  0.00000  0.01278
SN: 15260        1 0.25254 0.25375 40.36834  0.16640  0.00000  0.05348
SN: 15268        1 0.29735 0.29856 40.94098  0.15510  0.00000  0.02510
SN: 15272        1 0.27897 0.28020 40.64678  0.15020  0.00000  0.03914
SN: 15287        1 0.23652 0.23764 40.51396  0.11920  0.00000  0.02231
SN: 15301        1 0.17879 0.17991 39.68842  0.18060  0.00000  0.02214
SN: 15303        1 0.23317 0.23440 40.56439  0.17010  0.00000  0.01436
SN: 15324        1 0.39189 0.39277 41.75027  0.19110  0.00000  0.07046
SN: 15347        1 0.26896 0.27009 40.51123  0.15570  0.00000  0.03558
SN: 15354        1 0.22094 0.22210 40.08488  0.22080  0.00000  0.13497
SN: 15356        1 0.27366 0.27486 40.65782  0.14070  0.00000  0.02443
SN: 15359        1 0.31077 0.31200 40.83145  0.14790  0.00000  0.03631
SN: 15365        1 0.18678 0.18800 39.88693  0.12300  0.00000  0.02464
SN: 15366        1 0.29592 0.29706 40.96805  0.20660  0.00000  0.06835
SN: 15369        1 0.23077 0.23200 39.90012  0.14210  0.00000  0.01078
SN: 15383        1 0.31518 0.31603 41.12660  0.14890  0.00000  0.04695
SN: 15419        1 0.27672 0.27777 40.71895  0.15330  0.00000  0.02331
SN: 15421        1 0.18458 0.18544 39.81329  0.16750  0.00000  0.01667
SN: 15425        1 0.15942 0.15989 39.21374  0.13150  0.00000  0.01677
SN: 15428        1 0.38254 0.38331 41.75018  0.14620  0.00000  0.05009
SN: 15433        1 0.21964 0.22074 40.19016  0.12540  0.00000  0.01232
SN: 15440        1 0.26151 0.26227 40.50114  0.15450  0.00000  0.04866
SN: 15443        1 0.18133 0.18191 39.65298  0.11430  0.00000  0.02887
SN: 1545         1 0.09777 0.09887 39.18075 160.66550  0.00000  0.02749
SN: 15453        1 0.17392 0.17500 39.78606  0.17940  0.00000  0.01754
SN: 15456        1 0.38092 0.38210 41.33733  0.18400  0.00000  0.05712
SN: 15459        1 0.12557 0.12678 39.18572  0.26780  0.00000  0.05060
SN: 15461        1 0.18508 0.18622 39.72284  0.11510  0.00000  0.02273
SN: 15466        1 0.24509 0.24615 40.36064  0.15990  0.00000  0.02247
SN: 15467        1 0.20935 0.21043 39.93655  0.12790  0.00000  0.01756
SN: 15483        1 0.31545 0.31654 41.07542  0.21920  0.00000  0.07764
SN: 15496        1 0.23322 0.23438 40.34428  0.14080  0.00000  0.01628
SN: 15498        1 0.21456 0.21560 40.00075  0.32800  0.00000  0.09565
SN: 15504        1 0.26861 0.26983 40.73204  0.19690  0.00000  0.04960
SN: 15508        1 0.13369 0.13464 38.88686  0.15180  0.00000  0.01980
SN: 15511        1 0.25423 0.25489 40.64697  0.19140  0.00000  0.03629
SN: 15535        1 0.19963 0.20082 40.19483  0.18620  0.00000  0.03913
SN: 15584        1 0.28355 0.28425 40.80358  0.12810  0.00000  0.03466
SN: 15587        1 0.21835 0.21885 40.21781  0.13720  0.00000  0.01020
SN: 15640        1 0.16559 0.16670 40.06178 175.47500  0.00000  0.02014
SN: 15648        1 0.17400 0.17502 39.62066  0.19930  0.00000  0.04635
SN: 15663        1 0.29108 0.29229 40.80662  0.16600  0.00000  0.03488
SN: 15674        1 0.19678 0.19800 40.15307  0.14480  0.00000  0.01134
SN: 15675        1 0.23351 0.23474 40.49158  0.15070  0.00000  0.01058
SN: 15719        1 0.26795 0.26875 40.62906  0.14110  0.00000  0.03629
SN: 15748        1 0.15549 0.15610 39.31362  0.16190  0.00000  0.02701
SN: 15765        1 0.30427 0.30514 41.06783  0.16850  0.00000  0.06786
SN: 15772        1 0.23984 0.24093 41.49002 11.48260  0.00000  0.02488
SN: 15776        1 0.31609 0.31696 41.09754  0.13670  0.00000  0.06507
SN: 15779        1 0.26140 0.26263 41.15973  4.01290  0.00000  0.03100
SN: 15784        1 0.27636 0.27757 40.65590  0.14640  0.00000  0.03438
