VARNAMES: CID HOSTGAL_LOGMASS
SN: PSc040593 10.606
SN: PSc040603 9.798
SN: PSc040662 8.257
SN: PSc040693 10.58
SN: PSc040762 10.546
SN: PSc040777 9.325
SN: PSc040780 10.472
SN: PSc040782 9.677
SN: PSc040783 10.785
SN: PSc050003 7.243
SN: PSc050004 8.728
SN: PSc050005 9.065
SN: PSc050007 -9
SN: PSc050009 8.018
SN: PSc050010 9.727
SN: PSc050016 8.828
SN: PSc050017 10.696
SN: PSc050018 10.926
SN: PSc050025 9.806
SN: PSc050026 -9
SN: PSc050032 10.007
SN: PSc050035 10.858
SN: PSc050057 10.5
SN: PSc050064 10.275
SN: PSc050065 10.934
SN: PSc050078 10.801
SN: PSc050081 10.43
SN: PSc050088 8.751
SN: PSc050089 10.739
SN: PSc050098 9.039
SN: PSc050132 7.362
SN: PSc050164 9.109
SN: PSc050172 9.855
SN: PSc050182 10.972
SN: PSc050185 10.345
SN: PSc050186 11.423
SN: PSc050201 10.05
SN: PSc050202 9.856
SN: PSc050203 8.125
SN: PSc050205 9.5
SN: PSc050209 9.685
SN: PSc050221 8.215
SN: PSc050226 9.256
SN: PSc050235 10.853
SN: PSc050241 -9
SN: PSc050251 10.9
SN: PSc050264 10.342
SN: PSc050273 8.716
SN: PSc050274 10.162
SN: PSc050291 10.58
SN: PSc050292 8.311
SN: PSc050293 8.199
SN: PSc050296 10.396
SN: PSc050297 10.816
SN: PSc050298 10.189
SN: PSc050301 9.995
SN: PSc050303 10.722
SN: PSc050320 9.819
SN: PSc050321 8.577
SN: PSc050477 9.278
SN: PSc050577 10.224
SN: PSc050578 10.432
SN: PSc050580 9.807
SN: PSc050581 10.378
SN: PSc050583 -9
SN: PSc050586 -9
SN: PSc050596 -9
SN: PSc050598 11.08
SN: PSc050601 7.972
SN: PSc050606 9.609
SN: PSc050607 8.929
SN: PSc050617 10.439
SN: PSc050622 10.63
SN: PSc050623 10.588
SN: PSc050625 10.651
SN: PSc050643 -9
SN: PSc050654 11.547
SN: PSc050656 9.971
SN: PSc050662 9.717
SN: PSc050663 9.093
SN: PSc050665 11.045
SN: PSc050668 7.787
SN: PSc050669 11.06
SN: PSc050695 -9
SN: PSc050789 10.578
SN: PSc050983 -9
SN: PSc051109 9.632
SN: PSc051129 10.742
SN: PSc051213 10.48
SN: PSc051416 -9
SN: PSc051598 10.146
SN: PSc052052 8.934
SN: PSc052122 10.439
SN: PSc052128 9.208
SN: PSc052136 10.607
SN: PSc052144 -9
SN: PSc052212 10.738
SN: PSc052215 -9
SN: PSc052220 -9
SN: PSc052224 9.116
SN: PSc052228 -9
SN: PSc052235 -9
SN: PSc052258 8.168
SN: PSc052281 -9
SN: PSc052289 10.369
SN: PSc052300 -9
SN: PSc060004 10.925
SN: PSc060015 10.852
SN: PSc060020 9.722
SN: PSc060029 10.09
SN: PSc060053 10.812
SN: PSc060055 9.661
SN: PSc060088 9.624
SN: PSc060096 10.283
SN: PSc060139 9.822
SN: PSc060141 10.223
SN: PSc060157 10.566
SN: PSc060169 9.401
SN: PSc060193 8.906
SN: PSc060195 -9
SN: PSc060198 10.996
SN: PSc060199 10.475
SN: PSc060206 -9
SN: PSc060212 9.688
SN: PSc060220 9.519
SN: PSc060222 9.55
SN: PSc060224 9.194
SN: PSc060230 10.452
SN: PSc060236 8.969
SN: PSc060238 11.002
SN: PSc060242 9.621
SN: PSc060249 10.464
SN: PSc060255 9.519
SN: PSc060259 10.953
SN: PSc060263 -9
SN: PSc060270 8.043
SN: PSc060271 6.714
SN: PSc060281 10.491
