VARNAMES: SALT2c LOGMASS PROB
PDF: 0.200 8.20 0.000
PDF: 0.210 8.20 0.000
PDF: 0.220 8.20 0.000
PDF: 0.230 8.20 0.000
PDF: 0.240 8.20 0.000
PDF: 0.250 8.20 0.000
PDF: 0.260 8.20 0.000
PDF: 0.270 8.20 0.000
PDF: 0.280 8.20 0.000
PDF: 0.290 8.20 0.000
PDF: 0.300 8.20 0.000
PDF: 0.310 8.20 0.000
PDF: 0.320 8.20 0.000
PDF: 0.330 8.20 0.000
PDF: 0.340 8.20 0.000
PDF: 0.350 8.20 0.000
PDF: 0.360 8.20 0.000
PDF: 0.370 8.20 0.000
PDF: 0.380 8.20 0.000
PDF: 0.390 8.20 0.000
PDF: 0.400 8.20 0.000
PDF: 0.410 8.20 0.000
PDF: 0.420 8.20 0.000
PDF: 0.430 8.20 0.000
PDF: 0.440 8.20 0.000
PDF: 0.450 8.20 0.000
PDF: 0.460 8.20 0.000
PDF: 0.470 8.20 0.000
PDF: 0.480 8.20 0.000
PDF: 0.490 8.20 0.000
PDF: -0.500 8.40 0.000
PDF: -0.490 8.40 0.000
PDF: -0.480 8.40 0.000
PDF: -0.470 8.40 0.000
PDF: -0.460 8.40 0.000
PDF: -0.450 8.40 0.000
PDF: -0.440 8.40 0.000
PDF: -0.430 8.40 0.000
PDF: -0.420 8.40 0.000
PDF: -0.410 8.40 0.000
PDF: -0.400 8.40 0.000
PDF: -0.390 8.40 0.000
PDF: -0.380 8.40 0.000
PDF: -0.370 8.40 0.000
PDF: -0.360 8.40 0.000
PDF: -0.350 8.40 0.000
PDF: -0.340 8.40 0.000
PDF: -0.330 8.40 0.000
PDF: -0.320 8.40 0.000
PDF: -0.310 8.40 0.000
PDF: -0.300 8.40 0.000
PDF: -0.290 8.40 0.000
PDF: -0.280 8.40 0.000
PDF: -0.270 8.40 0.000
PDF: -0.260 8.40 0.000
PDF: -0.250 8.40 0.000
PDF: -0.240 8.40 0.000
PDF: -0.230 8.40 0.000
PDF: -0.220 8.40 0.000
PDF: -0.210 8.40 0.000
PDF: -0.200 8.40 0.000
PDF: -0.190 8.40 0.000
PDF: -0.180 8.40 0.001
PDF: -0.170 8.40 0.002
PDF: -0.160 8.40 0.004
PDF: -0.150 8.40 0.009
PDF: -0.140 8.40 0.019
PDF: -0.130 8.40 0.037
PDF: -0.120 8.40 0.069
PDF: -0.110 8.40 0.118
PDF: -0.100 8.40 0.191
PDF: -0.090 8.40 0.291
PDF: -0.080 8.40 0.417
PDF: -0.070 8.40 0.562
PDF: -0.060 8.40 0.712
PDF: -0.050 8.40 0.848
PDF: -0.040 8.40 0.949
PDF: -0.030 8.40 1.000
PDF: -0.020 8.40 0.995
PDF: -0.010 8.40 0.951
PDF: 0.000 8.40 0.873
PDF: 0.010 8.40 0.771
PDF: 0.020 8.40 0.654
PDF: 0.030 8.40 0.533
PDF: 0.040 8.40 0.418
PDF: 0.050 8.40 0.315
PDF: 0.060 8.40 0.228
PDF: 0.070 8.40 0.159
PDF: 0.080 8.40 0.106
PDF: 0.090 8.40 0.068
PDF: 0.100 8.40 0.042
PDF: 0.110 8.40 0.025
PDF: 0.120 8.40 0.014
PDF: 0.130 8.40 0.008
PDF: 0.140 8.40 0.004
PDF: 0.150 8.40 0.002
PDF: 0.160 8.40 0.001
PDF: 0.170 8.40 0.000
PDF: 0.180 8.40 0.000
PDF: 0.190 8.40 0.000
PDF: 0.200 8.40 0.000
PDF: 0.210 8.40 0.000
PDF: 0.220 8.40 0.000
PDF: 0.230 8.40 0.000
PDF: 0.240 8.40 0.000
PDF: 0.250 8.40 0.000
PDF: 0.260 8.40 0.000
PDF: 0.270 8.40 0.000
PDF: 0.280 8.40 0.000
PDF: 0.290 8.40 0.000
PDF: 0.300 8.40 0.000
PDF: 0.310 8.40 0.000
PDF: 0.320 8.40 0.000
PDF: 0.330 8.40 0.000
PDF: 0.340 8.40 0.000
PDF: 0.350 8.40 0.000
PDF: 0.360 8.40 0.000
PDF: 0.370 8.40 0.000
PDF: 0.380 8.40 0.000
PDF: 0.390 8.40 0.000
PDF: 0.400 8.40 0.000
PDF: 0.410 8.40 0.000
PDF: 0.420 8.40 0.000
PDF: 0.430 8.40 0.000
PDF: 0.440 8.40 0.000
PDF: 0.450 8.40 0.000
PDF: 0.460 8.40 0.000
PDF: 0.470 8.40 0.000
PDF: 0.480 8.40 0.000
PDF: 0.490 8.40 0.000
PDF: -0.500 8.60 0.000
PDF: -0.490 8.60 0.000
PDF: -0.480 8.60 0.000
