VARNAMES: SALT2c LOGMASS PROB
PDF: -0.350 9.00 0.000
PDF: -0.340 9.00 0.000
PDF: -0.330 9.00 0.000
PDF: -0.320 9.00 0.000
PDF: -0.310 9.00 0.000
PDF: -0.300 9.00 0.000
PDF: -0.290 9.00 0.000
PDF: -0.280 9.00 0.000
PDF: -0.270 9.00 0.000
PDF: -0.260 9.00 0.000
PDF: -0.250 9.00 0.000
PDF: -0.240 9.00 0.001
PDF: -0.230 9.00 0.001
PDF: -0.220 9.00 0.002
PDF: -0.210 9.00 0.004
PDF: -0.200 9.00 0.006
PDF: -0.190 9.00 0.011
PDF: -0.180 9.00 0.017
PDF: -0.170 9.00 0.026
PDF: -0.160 9.00 0.040
PDF: -0.150 9.00 0.059
PDF: -0.140 9.00 0.086
PDF: -0.130 9.00 0.120
PDF: -0.120 9.00 0.165
PDF: -0.110 9.00 0.221
PDF: -0.100 9.00 0.288
PDF: -0.090 9.00 0.366
PDF: -0.080 9.00 0.453
PDF: -0.070 9.00 0.546
PDF: -0.060 9.00 0.643
PDF: -0.050 9.00 0.738
PDF: -0.040 9.00 0.825
PDF: -0.030 9.00 0.900
PDF: -0.020 9.00 0.956
PDF: -0.010 9.00 0.990
PDF: 0.000 9.00 1.000
PDF: 0.010 9.00 0.965
PDF: 0.020 9.00 0.879
PDF: 0.030 9.00 0.755
PDF: 0.040 9.00 0.613
PDF: 0.050 9.00 0.469
PDF: 0.060 9.00 0.339
PDF: 0.070 9.00 0.231
PDF: 0.080 9.00 0.148
PDF: 0.090 9.00 0.090
PDF: 0.100 9.00 0.052
PDF: 0.110 9.00 0.028
PDF: 0.120 9.00 0.014
PDF: 0.130 9.00 0.007
PDF: 0.140 9.00 0.003
PDF: 0.150 9.00 0.001
PDF: 0.160 9.00 0.001
PDF: 0.170 9.00 0.000
PDF: 0.180 9.00 0.000
PDF: 0.190 9.00 0.000
PDF: 0.200 9.00 0.000
PDF: 0.210 9.00 0.000
PDF: 0.220 9.00 0.000
PDF: 0.230 9.00 0.000
PDF: 0.240 9.00 0.000
PDF: 0.250 9.00 0.000
PDF: 0.260 9.00 0.000
PDF: 0.270 9.00 0.000
PDF: 0.280 9.00 0.000
PDF: 0.290 9.00 0.000
PDF: 0.300 9.00 0.000
PDF: 0.310 9.00 0.000
PDF: 0.320 9.00 0.000
PDF: 0.330 9.00 0.000
PDF: 0.340 9.00 0.000
PDF: 0.350 9.00 0.000
PDF: 0.360 9.00 0.000
PDF: 0.370 9.00 0.000
PDF: 0.380 9.00 0.000
PDF: 0.390 9.00 0.000
PDF: 0.400 9.00 0.000
PDF: 0.410 9.00 0.000
PDF: 0.420 9.00 0.000
PDF: 0.430 9.00 0.000
PDF: 0.440 9.00 0.000
PDF: 0.450 9.00 0.000
PDF: 0.460 9.00 0.000
PDF: 0.470 9.00 0.000
PDF: 0.480 9.00 0.000
PDF: 0.490 9.00 0.000
PDF: -0.500 9.20 0.000
PDF: -0.490 9.20 0.000
PDF: -0.480 9.20 0.000
PDF: -0.470 9.20 0.000
PDF: -0.460 9.20 0.000
PDF: -0.450 9.20 0.000
PDF: -0.440 9.20 0.000
PDF: -0.430 9.20 0.000
PDF: -0.420 9.20 0.000
PDF: -0.410 9.20 0.000
PDF: -0.400 9.20 0.000
PDF: -0.390 9.20 0.000
PDF: -0.380 9.20 0.000
PDF: -0.370 9.20 0.000
PDF: -0.360 9.20 0.000
PDF: -0.350 9.20 0.000
PDF: -0.340 9.20 0.000
PDF: -0.330 9.20 0.000
PDF: -0.320 9.20 0.000
PDF: -0.310 9.20 0.000
PDF: -0.300 9.20 0.000
PDF: -0.290 9.20 0.000
PDF: -0.280 9.20 0.000
PDF: -0.270 9.20 0.000
PDF: -0.260 9.20 0.000
