# zHD       = redshift in CMB frame with VPEC correction
# zHEL      = helio redshift (beware: no VPEC corr) 
# MU        = distance modulus corrected for bias and contamination
# MUERR     = stat-uncertainty on MU 
# MUERR_SYS = sqrt(COVSYS_DIAG) for 'ALL' sys (diagnostic)
# ISDATA_REAL: 1   # flag for cosmology fitter to choose blind option
#
VARNAMES: CID IDSURVEY zHD zHEL MU MUERR MUERR_VPEC MUERR_SYS
SN: 14438        1 0.29631 0.29753 40.86872  0.14630  0.00000  0.04782
SN: 14444        1 0.24470 0.24590 40.56992  0.13820  0.00000  0.02574
SN: 14451        1 0.17805 0.17900 39.54462  0.13840  0.00000  0.01348
SN: 14456        1 0.32842 0.32965 41.15781  0.11560  0.00000  0.04179
SN: 14481        1 0.24239 0.24358 40.63242  0.14810  0.00000  0.02964
SN: 14498        1 0.34506 0.34618 41.35919  0.12070  0.00000  0.07970
SN: 14524        1 0.27148 0.27221 40.93471  0.15390  0.00000  0.02231
SN: 14525        1 0.15329 0.15437 39.30565  0.29220  0.00000  0.06836
SN: 14540        1 0.26853 0.26935 40.71644  0.13330  0.00000  0.02287
SN: 14545        1 0.27616 0.27739 40.74150  0.13550  0.00000  0.04193
SN: 14589        1 0.26939 0.27000 40.97882  0.19570  0.00000  0.08211
SN: 14593        1 0.30673 0.30721 40.93029  0.14650  0.00000  0.08090
SN: 1461         1 0.34014 0.34113 41.30622  0.11330  0.00000  0.05782
SN: 14638        1 0.27584 0.27705 41.37596  0.21830  0.00000  0.02183
SN: 14735        1 0.29962 0.30046 40.85901  0.14070  0.00000  0.05365
SN: 14750        1 0.21405 0.21490 40.15155  0.20010  0.00000  0.01999
SN: 14784        1 0.19122 0.19234 40.01031  0.19680  0.00000  0.03985
SN: 14816        1 0.10602 0.10722 38.30136  0.15810  0.00000  0.04392
SN: 14846        1 0.22362 0.22478 40.25848  0.13100  0.00000  0.01999
SN: 14871        1 0.11851 0.11900 38.86115  0.14320  0.00000  0.04731
SN: 14965        1 0.27995 0.28100 40.65974  0.14650  0.00000  0.03437
SN: 14979        1 0.17662 0.17710 39.58075  0.13210  0.00000  0.01050
SN: 14984        1 0.18298 0.18400 39.84559  0.23030  0.00000  0.02929
SN: 15002        1 0.36098 0.36200 41.26762  0.15130  0.00000  0.06219
SN: 1504         1 0.31655 0.31730 41.26890  0.13860  0.00000  0.03941
SN: 15057        1 0.24578 0.24684 40.65778  0.21220  0.00000  0.07513
SN: 15101        1 0.18083 0.18194 40.52183  6.38670  0.00000  0.07752
SN: 15129        1 0.19720 0.19828 39.86701  0.12270  0.00000  0.02379
SN: 15132        1 0.15322 0.15439 39.30343  0.13420  0.00000  0.03254
SN: 15136        1 0.14742 0.14865 39.09837  0.17800  0.00000  0.05211
SN: 15137        1 0.27774 0.27896 40.88900  0.13990  0.00000  0.03716
SN: 15161        1 0.24876 0.24959 40.38596  0.19380  0.00000  0.01163
SN: 15171        1 0.13831 0.13920 39.07929  0.14190  0.00000  0.02572
SN: 15198        1 0.28858 0.28942 40.82708  0.11280  0.00000  0.01627
SN: 15201        1 0.20761 0.20882 40.33011  0.23620  0.00000  0.05125
SN: 15203        1 0.20333 0.20442 39.93077  0.17790  0.00000  0.02547
SN: 15210        1 0.12473 0.12596 39.29940  0.27530  0.00000  0.08846
SN: 15213        1 0.30648 0.30700 41.07308  0.08060  0.00000  0.02831
SN: 15219        1 0.24667 0.24751 40.48425  0.12120  0.00000  0.01231
SN: 15221        1 0.15135 0.15182 40.48549 210.80200  0.00000  0.03199
SN: 15222        1 0.19824 0.19943 39.84835  0.15400  0.00000  0.04363
SN: 15229        1 0.22282 0.22400 40.30940  0.15340  0.00000  0.01726
SN: 15234        1 0.13532 0.13639 39.34282  0.19520  0.00000  0.05883
SN: 15254        1 0.20199 0.20300 40.11430  0.20030  0.00000  0.01884
SN: 15259        1 0.21079 0.21200 39.93592  0.17440  0.00000  0.01623
SN: 15260        1 0.25254 0.25375 40.42876  0.16600  0.00000  0.04539
SN: 15268        1 0.29735 0.29856 40.94300  0.15820  0.00000  0.02337
SN: 15272        1 0.27897 0.28020 40.64963  0.15020  0.00000  0.03101
SN: 15287        1 0.23652 0.23764 40.53626  0.11770  0.00000  0.02936
SN: 15301        1 0.17879 0.17991 39.69351  0.17990  0.00000  0.03357
SN: 15303        1 0.23317 0.23440 40.56387  0.17010  0.00000  0.01082
SN: 15324        1 0.39189 0.39277 41.75513  0.18460  0.00000  0.08270
SN: 15347        1 0.26896 0.27009 40.51426  0.15370  0.00000  0.02823
SN: 15354        1 0.22094 0.22210 40.08170  0.21930  0.00000  0.11459
SN: 15356        1 0.27366 0.27486 40.65975  0.13970  0.00000  0.01658
SN: 15359        1 0.31077 0.31200 40.86247  0.13690  0.00000  0.03767
SN: 15365        1 0.18678 0.18800 39.89816  0.12050  0.00000  0.02248
SN: 15366        1 0.29592 0.29706 40.95410  0.20820  0.00000  0.07197
SN: 15369        1 0.23077 0.23200 39.91010  0.14070  0.00000  0.01543
SN: 15383        1 0.31518 0.31603 41.13954  0.15070  0.00000  0.03512
SN: 15419        1 0.27672 0.27777 40.71607  0.15310  0.00000  0.01707
SN: 15421        1 0.18458 0.18544 39.82197  0.16700  0.00000  0.02391
SN: 15425        1 0.15942 0.15989 39.24152  0.13110  0.00000  0.03548
SN: 15428        1 0.38254 0.38331 41.75438  0.14290  0.00000  0.05532
SN: 15433        1 0.21964 0.22074 40.19843  0.12370  0.00000  0.01281
SN: 15440        1 0.26151 0.26227 40.51995  0.15490  0.00000  0.02573
SN: 15443        1 0.18133 0.18191 39.68066  0.11250  0.00000  0.04748
SN: 1545         1 0.09777 0.09887 39.15813 98.66610  0.00000  0.11246
SN: 15453        1 0.17392 0.17500 39.80787  0.17910  0.00000  0.03315
SN: 15456        1 0.38092 0.38210 41.33036  0.17860  0.00000  0.07917
SN: 15459        1 0.12557 0.12678 39.21846  0.26740  0.00000  0.05350
SN: 15461        1 0.18508 0.18622 39.72376  0.11340  0.00000  0.01369
SN: 15466        1 0.24509 0.24615 40.36735  0.15810  0.00000  0.02318
SN: 15467        1 0.20935 0.21043 39.95974  0.12690  0.00000  0.02659
SN: 15483        1 0.31545 0.31654 41.08716  0.21010  0.00000  0.05881
SN: 15496        1 0.23322 0.23438 40.35736  0.13930  0.00000  0.02299
SN: 15498        1 0.21456 0.21560 40.04928  0.30040  0.00000  0.04040
SN: 15504        1 0.26861 0.26983 40.79707  0.20000  0.00000  0.04859
SN: 15508        1 0.13369 0.13464 38.89787  0.15010  0.00000  0.03128
SN: 15511        1 0.25423 0.25489 40.65560  0.19180  0.00000  0.02178
SN: 15535        1 0.19963 0.20082 40.19818  0.18690  0.00000  0.05538
SN: 15584        1 0.28355 0.28425 40.81661  0.12690  0.00000  0.03675
SN: 15587        1 0.21835 0.21885 40.23508  0.13580  0.00000  0.01594
SN: 15640        1 0.16559 0.16670 40.06662 176.09800  0.00000  0.02702
SN: 15648        1 0.17400 0.17502 39.63496  0.19780  0.00000  0.06405
SN: 15663        1 0.29108 0.29229 40.80823  0.16560  0.00000  0.02602
SN: 15674        1 0.19678 0.19800 40.16559  0.14310  0.00000  0.01993
SN: 15675        1 0.23351 0.23474 40.49338  0.14890  0.00000  0.01523
SN: 15719        1 0.26795 0.26875 40.63243  0.13970  0.00000  0.03596
SN: 15748        1 0.15549 0.15610 39.29847  0.16050  0.00000  0.05820
SN: 15765        1 0.30427 0.30514 41.08196  0.16940  0.00000  0.04819
SN: 15772        1 0.23984 0.24093 41.49210  9.41140  0.00000  0.01237
SN: 15776        1 0.31609 0.31696 41.07416  0.13710  0.00000  0.07400
SN: 15779        1 0.26140 0.26263 41.17452  3.22320  0.00000  0.03188
SN: 15784        1 0.27636 0.27757 40.67960  0.14610  0.00000  0.01665
SN: 1580         1 0.18334 0.18400 39.66676  0.13340  0.00000  0.03230
SN: 15807        1 0.20843 0.20935 41.03695 28.47900  0.00000  0.04896
SN: 15814        1 0.37029 0.37121 41.49466  0.14600  0.00000  0.06268
SN: 15829        1 0.24778 0.24889 40.96084  0.24370  0.00000  0.02236
SN: 15850        1 0.24973 0.25093 40.55089  0.11750  0.00000  0.02166
SN: 15866        1 0.18883 0.19004 39.90901  0.18150  0.00000  0.03111
SN: 15868        1 0.25007 0.25085 40.48807  0.11170  0.00000  0.01889
SN: 15872        1 0.20568 0.20649 39.88389  0.14630  0.00000  0.01727
SN: 15892        1 0.18301 0.18412 39.64895  0.21670  0.00000  0.07126
SN: 15897        1 0.17382 0.17494 39.61497  0.15100  0.00000  0.07699
SN: 15901        1 0.20396 0.20485 39.98764  0.14610  0.00000  0.01951
SN: 15928        1 0.19102 0.19218 40.67311 160.35080  0.00000  0.03600
SN: 15941        1 0.32484 0.32602 41.06527  0.16340  0.00000  0.05332
SN: 15998        1 0.33993 0.34096 41.34548  0.14900  0.00000  0.06150
SN: 16021        1 0.12352 0.12463 38.71150  0.15700  0.00000  0.03230
SN: 16032        1 0.20332 0.20400 39.92783  0.14170  0.00000  0.03272
SN: 16054        1 0.31025 0.31146 41.20056  0.32660  0.00000  0.03878
SN: 16069        1 0.12755 0.12877 38.87335  0.20590  0.00000  0.06452
SN: 16072        1 0.28471 0.28589 40.77715  0.14370  0.00000  0.01380
SN: 16073        1 0.15359 0.15474 39.42360  0.18590  0.00000  0.03154
SN: 16091        1 0.30002 0.30060 40.97783  0.17640  0.00000  0.04308
SN: 16093        1 0.33482 0.33605 41.26645  0.15030  0.00000  0.04987
SN: 16099        1 0.19610 0.19706 39.99236  0.15580  0.00000  0.05519
SN: 16100        1 0.19410 0.19500 39.85113  0.20810  0.00000  0.03647
SN: 16103        1 0.20140 0.20240 39.85414  0.15020  0.00000  0.05591
SN: 16105        1 0.13856 0.13964 39.56157 198.12570  0.00000  0.05657
SN: 16106        1 0.25002 0.25120 40.43795  0.13550  0.00000  0.01241
SN: 16116        1 0.15529 0.15650 39.37768  0.14580  0.00000  0.01654
SN: 16152        1 0.27136 0.27200 40.68676  0.17240  0.00000  0.05566
SN: 16165        1 0.15610 0.15700 39.33644  0.16240  0.00000  0.02730
SN: 16185        1 0.10031 0.10139 38.24949  0.24940  0.00000  0.12409
SN: 16199        1 0.28122 0.28241 40.67135  0.17570  0.00000  0.03657
SN: 16200        1 0.08932 0.09048 39.52316 13.57130  0.00000  0.06318
SN: 16213        1 0.24885 0.25000 40.46753  0.13940  0.00000  0.00701
SN: 16237        1 0.31219 0.31320 41.03896  0.11720  0.00000  0.06160
SN: 16241        1 0.09637 0.09756 39.05532 273.45710  0.00000  0.11690
SN: 16276        1 0.19196 0.19300 39.84487  0.18120  0.00000  0.02673
SN: 16281        1 0.18531 0.18653 39.66393  0.15420  0.00000  0.02284
SN: 16287        1 0.10680 0.10744 38.40797  0.13780  0.00000  0.06518
SN: 16298        1 0.28161 0.28279 41.05256  0.23460  0.00000  0.04339
SN: 16302        1 0.23076 0.23194 40.07307  0.13360  0.00000  0.01266
SN: 16350        1 0.23713 0.23825 40.32706  0.14400  0.00000  0.02393
SN: 16393        1 0.31531 0.31645 40.61729  0.14380  0.00000  0.05611
SN: 16405        1 0.27451 0.27573 40.46238  0.17490  0.00000  0.02737
SN: 16408        1 0.26568 0.26670 41.10608  0.24330  0.00000  0.03083
SN: 16412        1 0.09679 0.09798 40.46007 208.06420  0.00000  0.10381
SN: 16462        1 0.24354 0.24461 40.24659  0.16170  0.00000  0.03507
SN: 16466        1 0.18655 0.18762 40.40895  0.53600  0.00000  0.06897
SN: 16467        1 0.22003 0.22119 40.10044  0.17680  0.00000  0.04526
SN: 16472        1 0.30900 0.31001 41.02155  0.15760  0.00000  0.03782
SN: 16578        1 0.17379 0.17470 39.31886  0.28910  0.00000  0.03229
SN: 1658         1 0.27609 0.27730 40.90809  0.17350  0.00000  0.01924
SN: 16606        1 0.22454 0.22576 40.46981  0.27790  0.00000  0.03049
SN: 16618        1 0.19211 0.19313 39.75001  0.16240  0.00000  0.02116
SN: 16668        1 0.15105 0.15180 39.52566  0.33240  0.00000  0.02924
SN: 16739        1 0.26459 0.26569 40.97496  0.14830  0.00000  0.03900
SN: 17168        1 0.18397 0.18518 39.89627  0.17280  0.00000  0.02496
SN: 17169        1 0.21934 0.22056 40.07821  0.16240  0.00000  0.01446
SN: 17170        1 0.21900 0.22000 40.23091  0.23330  0.00000  0.01719
SN: 17186        1 0.07856 0.07944 37.93590  0.26930  0.00000  0.06619
SN: 17205        1 0.19151 0.19233 39.84793  0.22440  0.00000  0.02266
SN: 17208        1 0.13880 0.14000 39.34424  0.15330  0.00000  0.03155
SN: 17215        1 0.18088 0.18136 39.72190  0.17560  0.00000  0.02761
SN: 17218        1 0.17717 0.17839 39.62096  0.14060  0.00000  0.03976
SN: 17219        1 0.19310 0.19428 39.75573  0.12930  0.00000  0.02979
SN: 17220        1 0.17794 0.17908 39.42765  0.20190  0.00000  0.08142
SN: 17254        1 0.26767 0.26883 40.06463  0.20650  0.00000  0.07308
SN: 17274        1 0.19489 0.19610 39.99333  0.30640  0.00000  0.04879
SN: 17340        1 0.25644 0.25717 40.50563  0.15500  0.00000  0.00819
SN: 17366        1 0.13825 0.13929 39.01771  0.11280  0.00000  0.02650
SN: 17374        1 0.25098 0.25205 40.44270  0.18990  0.00000  0.01169
SN: 17389        1 0.16976 0.17087 39.76833  0.27540  0.00000  0.03303
SN: 1740         1 0.16648 0.16765 39.43803  0.13270  0.00000  0.03808
SN: 17401        1 0.27901 0.28024 40.64161  0.24760  0.00000  0.01621
SN: 17408        1 0.23921 0.24026 40.48373  0.21780  0.00000  0.01658
SN: 17422        1 0.13978 0.14100 40.29304  1.91910  0.00000  0.03377
SN: 17433        1 0.28681 0.28799 40.87477  0.24370  0.00000  0.04390
SN: 17434        1 0.17772 0.17878 39.83181  0.19120  0.00000  0.04929
SN: 17435        1 0.21696 0.21800 40.16254  0.14360  0.00000  0.01894
SN: 1744         1 0.18830 0.18952 40.62596 271.98880  0.00000  0.03750
SN: 17464        1 0.24584 0.24700 40.10575  0.20060  0.00000  0.01498
SN: 17473        1 0.16929 0.17041 40.21112  0.32940  0.00000  0.06988
SN: 17497        1 0.14403 0.14484 39.15838  0.16200  0.00000  0.03754
SN: 1750         1 0.25880 0.26002 40.88383  0.25000  0.00000  0.05422
SN: 17541        1 0.26684 0.26797 40.71215  0.20820  0.00000  0.02002
SN: 17552        1 0.25226 0.25336 40.65669  0.15210  0.00000  0.03592
SN: 17568        1 0.13699 0.13800 39.47526  0.30420  0.00000  0.05314
SN: 17627        1 0.06841 0.06960 38.74186 312.50430  0.00000  0.09800
SN: 17629        1 0.13591 0.13682 38.90918  0.17430  0.00000  0.04364
SN: 17647        1 0.27376 0.27461 40.72900  0.14740  0.00000  0.06255
SN: 17746        1 0.15582 0.15700 40.05036  0.74850  0.00000  0.08427
SN: 17748        1 0.17846 0.17960 39.94093  0.28230  0.00000  0.04139
SN: 1775         1 0.30281 0.30388 41.34300  0.24150  0.00000  0.03196
SN: 17790        1 0.17717 0.17800 40.25770  0.22490  0.00000  0.05175
SN: 17791        1 0.27782 0.27900 41.22414  0.22920  0.00000  0.02235
SN: 17800        1 0.21601 0.21700 40.28576  0.31880  0.00000  0.05782
SN: 17801        1 0.20536 0.20640 40.22116  0.19840  0.00000  0.02853
SN: 17809        1 0.28780 0.28896 40.79161  0.16580  0.00000  0.06657
SN: 17811        1 0.19889 0.20000 39.92583  0.15370  0.00000  0.02396
SN: 17820        1 0.33948 0.34056 41.16770  0.13510  0.00000  0.03873
SN: 17825        1 0.16013 0.16100 39.43598  0.14900  0.00000  0.02773
